property_id,address,suburb,property_type_group,sale_price_aud,bedrooms,bathrooms,parking_spaces,land_area_clean_m2,property_notes,quality_flags,source_url,cv_prediction_aud,error_aud,absolute_error_aud,absolute_percentage_error
CHA018,54 Stanley Street,Chatswood,House,6250000,5,5,2.0,,Built in 2018; ensuite bedrooms; ducted air conditioning; media room and office.,,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148140156,2366523.540902256,-3883476.459097744,3883476.459097744,0.6213562334556391
CHA034,39 Clanwilliam Street,Chatswood,House,5000000,3,1,3.0,625.0,Circa 1920 bungalow; redevelopment potential claimed. Description parking differs from header.,parking_conflict,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148810316,1961913.355311357,-3038086.644688643,3038086.644688643,0.6076173289377286
CHA026,9 Archer Street,Chatswood,House,5960000,4,2,2.0,923.2,Circa 1890 double-brick home; extension; pool; air conditioning; flexible office/fifth bedroom.,flexible_bedroom,https://www.realestate.com.au/sold/property-house-nsw-chatswood-149276444,3218073.9468253967,-2741926.0531746033,2741926.0531746033,0.4600547069084905
CHA022,96 Millwood Avenue,Chatswood,House,1800000,5,3,2.0,,Three levels; north-facing bush views; study.,,https://www.realestate.com.au/sold/property-house-nsw-chatswood-147507220,4136155.1785714324,2336155.1785714324,2336155.1785714324,1.2978639880952403
CHA035,18 Park Avenue,Chatswood,House,3860000,3,1,3.0,638.6,Original kitchen and bathroom; north aspect; redevelopment potential; advertised 950 m to station.,,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148935896,1960353.355311357,-1899646.644688643,1899646.644688643,0.492136436447835
