model,CV MAE mean,CV MAE SD,CV RMSE mean,CV RMSE SD,CV R2 mean,CV R2 SD,Train MAE mean,Train R2 mean
Random forest,365547.9120708833,110226.73524027092,725218.4371961423,239109.02306800685,0.560408373299121,0.16432477716935576,209600.20447576133,0.8916953992613269
Decision tree,472149.3204975038,207328.55537243976,933511.2280607813,436104.18426281255,0.4057910868933596,0.30495876729180116,265547.2495931009,0.8338674844390133
Ridge,477130.34789458336,102624.47720628793,709952.0271044194,141716.94997249724,0.3659112741502681,0.6309534495857158,402461.8704948309,0.800298525112634
